payments,revenue,refund_amount,refund_ratio,pg_fee,contribution_before_variable_opex,within_72h_renewals,after_72h_renewals,main_expiries,sub_expiries,main_to_sub_conversions,renewal_rank_assessments,payback_qualifications,active_users_end,active_user_days,scenario
1908,55332000,2963800.0,0.053563941299790356,2069416.8,49968783.2,732,176,219,1689,138,27,202,0,50494.0,기준
1921,55709000,3024700.0,0.05429463820926601,2083516.6,50270783.4,728,193,222,1699,154,29,208,0,51149.0,기준
1918,55622000,3047900.0,0.054796663190823776,2080262.8,50163837.2,723,195,219,1699,132,31,209,0,51062.0,기준
1926,55854000,2984100.0,0.053426791277258565,2088939.6,50450960.4,723,203,218,1708,138,23,204,0,51553.0,기준
1940,56260000,2798500.0,0.04974226804123711,2104124.0,51027376.0,738,202,199,1741,126,26,190,0,51474.0,기준
1956,56724000,3413300.0,0.06017382413087934,2121477.6,50859222.4,750,206,252,1704,158,46,233,0,51809.0,기준
1870,54230000,2914500.0,0.05374331550802139,2028202.0000000002,48957298.0,699,171,211,1659,131,25,198,0,49615.0,기준
1962,56898000,2749200.0,0.048318042813455656,2127985.2,51690814.8,762,200,201,1761,136,21,189,0,51881.0,기준
1916,55564000,2639000.0,0.04749478079331942,2078093.6,50516906.4,732,184,196,1719,116,27,182,1,50468.65904446759,기준
2023,58667000,3062400.0,0.05219970341077607,2194145.8000000003,53080454.2,806,217,225,1797,147,35,210,1,53790.81674854936,기준
1959,56811000,2844900.0,0.05007656967840735,2124731.4000000004,51511368.6,769,190,209,1749,151,18,195,1,51909.32648325619,기준
1998,57942000,2801400.0,0.04834834834834835,2167030.8000000003,52643569.2,792,206,208,1790,143,17,192,0,52918.0,기준
1913,55477000,2438900.0,0.04396236278097229,2074839.8,50633260.2,712,201,179,1734,127,21,167,0,50448.0,기준
1966,57014000,2801400.0,0.0491353001017294,2132323.6,51750276.4,748,218,210,1755,137,30,192,1,52128.212585308436,기준
1929,55941000,2644800.0,0.04727838258164852,2092193.4000000001,50874006.6,717,212,193,1735,131,20,180,1,51065.4548086275,기준
1910,55390000,2723100.0,0.04916230366492146,2071586.0000000002,50265314.0,698,212,200,1710,128,25,186,0,50542.0,기준
1890,54810000,2778200.0,0.050687830687830684,2049894.0000000002,49651906.0,707,183,205,1685,135,26,191,0,50039.0,기준
1842,53418000,2488200.0,0.04657980456026058,1997833.2000000002,48601966.8,674,168,184,1658,120,12,171,0,48839.0,기준
1920,55680000,2873900.0,0.05161458333333333,2082432.0000000002,50393668.0,712,208,203,1716,127,26,197,1,51104.26147111392,기준
1970,57130000,2844900.0,0.04979695431472081,2136662.0,51818438.0,762,208,208,1762,138,27,195,0,52030.0,기준
1905,55245000,2314200.0,0.04188976377952756,2066163.0000000002,50534637.0,712,193,174,1731,108,30,159,0,50243.0,기준
1868,54172000,2505600.0,0.04625267665952891,2026032.8,49310367.2,676,192,185,1683,122,15,171,0,49467.0,기준
1908,55332000,2940600.0,0.05314465408805032,2069416.8,49991983.2,729,179,217,1691,146,22,201,0,50635.0,기준
1996,57884000,2827500.0,0.04884769539078156,2164861.6,52561638.4,805,191,205,1791,134,28,192,0,52579.0,기준
1905,55245000,2331600.0,0.04220472440944882,2066163.0000000002,50517237.0,675,230,168,1737,104,20,159,0,50423.0,기준
1823,52867000,2412800.0,0.04563905650027427,1977225.8,48146974.2,641,182,176,1647,109,26,164,0,48220.0,기준
1955,56695000,2888400.0,0.0509462915601023,2120393.0,51356207.0,748,207,212,1743,141,25,198,0,51691.0,기준
1870,54230000,2380900.0,0.043903743315508025,2028202.0000000002,49490898.0,683,187,173,1697,106,22,163,0,49439.0,기준
1948,56492000,2612900.0,0.04625256673511294,2112800.8000000003,51436299.2,733,215,196,1752,119,30,179,0,51520.0,기준
1997,57913000,2978300.0,0.0514271407110666,2165946.2,52438753.8,774,223,215,1781,141,30,203,1,53147.09394749288,기준
2932,85028000,3796100.0,0.04464529331514325,3180047.2,77721852.8,1485,448,291,2638,242,27,260,3,77232.69397914679,강한 유지
3215,93235000,4254300.0,0.0456298600311042,3486989.0000000005,85163711.0,1779,438,318,2888,259,29,291,9,85376.30081039113,강한 유지
3096,89784000,4234000.0,0.047157622739018086,3357921.6,81862078.4,1627,470,312,2769,248,35,289,15,81471.53457945779,강한 유지
3057,88653000,4634200.0,0.05227347072293098,3315622.2,80373177.8,1621,438,347,2705,272,33,316,5,81192.76031695108,강한 유지
3067,88943000,4274600.0,0.04805999347896968,3326468.2,81011931.8,1615,452,319,2734,260,33,293,14,80934.1744226025,강한 유지
2968,86072000,3955600.0,0.04595687331536388,3219092.8000000003,78567307.2,1551,417,288,2671,228,29,268,9,77831.88440289738,강한 유지
3012,87348000,4335500.0,0.049634794156706505,3266815.2,79415684.8,1554,458,318,2685,264,28,296,9,79500.10909657035,강한 유지
3072,89088000,4263000.0,0.0478515625,3331891.2,81163108.8,1590,485,316,2748,241,42,291,8,81129.7937181918,강한 유지
3125,90625000,4680600.0,0.051648,3389375.0000000005,82225025.0,1702,423,347,2766,261,43,318,12,82348.24091168781,강한 유지
2954,85666000,4297800.0,0.05016926201760325,3203908.4000000004,77834291.6,1562,393,320,2627,269,22,294,7,78152.0881730103,강한 유지
3130,90770000,4651600.0,0.05124600638977636,3394798.0000000005,82393602.0,1696,435,349,2771,275,34,319,10,82767.17453235765,강한 유지
3083,89407000,4422500.0,0.04946480700616283,3343821.8000000003,81310678.2,1641,445,334,2743,268,31,302,6,81208.20932113689,강한 유지
